assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
39,5,31,,1,82,8,Faber,0,26,8482122,-1,47,0.57317,D,3,16,20232024,0,0,0.05882,R,136,Brock Faber,MIN,1498.4512
38,5,22,,1,82,9,Hughes,1,28,8482684,-25,47,0.57317,D,4,25,20232024,0,0,0.06666,L,135,Luke Hughes,NJD,1288.4146
35,7,29,,0,59,11,Dunn,0,78,8478407,8,46,0.77966,D,4,16,20232024,0,1,0.09166,L,120,Vince Dunn,SEA,1385.2203
24,14,27,1.0,4,72,22,Kuzmenko,1,12,8483808,-9,46,0.63888,L,8,19,20232024,0,0,0.18181,R,121,Andrei Kuzmenko,"VAN,CGY",893.0555
22,16,34,0.41935,3,74,24,Skinner,1,34,8475784,-2,46,0.62162,L,8,12,20232024,0,0,0.11374,L,211,Jeff Skinner,BUF,959.7702
26,15,33,0.49347,3,82,20,Schenn,2,56,8475170,-22,46,0.56097,C,4,12,20232024,1,1,0.11764,L,170,Brayden Schenn,STL,1066.8536
22,15,32,0.54294,2,82,24,Paul,0,27,8477426,-16,46,0.56097,L,9,14,20232024,0,0,0.15686,L,153,Nick Paul,TBL,1035.5975
27,12,33,0.422,1,71,18,Novak,0,8,8478438,-3,45,0.6338,C,6,12,20232024,0,0,0.15929,L,113,Thomas Novak,NSH,852.0422
24,16,35,0.46962,3,74,21,Hartman,0,72,8477451,4,45,0.6081,R,5,10,20232024,0,0,0.12138,R,173,Ryan Hartman,MIN,991.0
23,19,38,0.49241,2,76,22,Bjugstad,1,59,8475760,11,45,0.5921,C,2,6,20232024,1,1,0.13333,R,165,Nick Bjugstad,ARI,1046.6842
34,8,41,,3,79,11,Ekholm,0,47,8475218,44,45,0.56962,D,2,3,20232024,1,1,0.06214,L,177,Mattias Ekholm,EDM,1262.962
